tconst,name,year,mz,my,mx,fz,fy,fx,a10,a9,a8,a7,a6,a5,a4,a3,a2,a1,series_name,parentTconst,seasonNumber,episodeNumber,averageRating,numVotes,demo_adj
tt0708737,Interface,1993,6.3,6.2,6.4,5.6,6.6,6.3,107,34,126,337,396,175,69,36,13,29,Star Trek: The Next Generation,tt0092455,7,3,6.3,1267,6.16808
tt0708738,Journey's End,1994,6.4,6.3,6.5,5.3,6.7,6.6,139,76,173,351,294,168,80,43,35,65,Star Trek: The Next Generation,tt0092455,7,20,6.5,1360,6.21714
tt0708739,Justice,1987,5.8,6,6.2,6.8,6.1,5.7,153,72,163,396,565,319,159,88,58,78,Star Trek: The Next Generation,tt0092455,1,7,6,1981,6.06894
tt0708740,Legacy,1990,6.8,6.7,6.9,6.1,6.8,6.6,137,54,252,556,382,129,46,31,9,18,Star Trek: The Next Generation,tt0092455,4,6,6.8,1551,6.6005400000000005
tt0708741,Lessons,1993,7.7,7.4,7.5,5.8,7.6,7.8,246,191,403,408,179,69,36,20,10,27,Star Trek: The Next Generation,tt0092455,6,19,7.5,1527,7.21602
tt0708742,Liaisons,1993,6.8,6.6,6.7,5.3,7.1,6.7,121,61,173,434,326,135,53,22,16,21,Star Trek: The Next Generation,tt0092455,7,2,6.7,1308,6.45894
tt0708743,Lonely Among Us,1987,6.2,6.3,6.5,6.7,6.4,6.4,139,41,165,485,654,248,90,51,24,23,Star Trek: The Next Generation,tt0092455,1,6,6.3,1851,6.3635
tt0708744,Loud as a Whisper,1989,6.7,6.4,6.5,6.7,6.5,6.6,151,84,223,461,461,200,70,43,32,30,Star Trek: The Next Generation,tt0092455,2,5,6.6,1693,6.53526
tt0708745,Lower Decks,1994,9,8.7,8.5,7.6,8.7,8.3,585,644,441,161,64,31,13,11,5,18,Star Trek: The Next Generation,tt0092455,7,15,8.7,1885,8.434359999999998
tt0708746,Man of the People,1992,5.5,5.7,6,5.4,6.4,6.1,118,28,99,258,363,290,125,59,43,48,Star Trek: The Next Generation,tt0092455,6,3,5.8,1373,5.7468200000000005
tt0708747,Manhunt,1989,6,5.9,6.2,6.1,6.5,6.4,139,51,146,333,435,257,133,70,39,43,Star Trek: The Next Generation,tt0092455,2,19,6.1,1582,6.106019999999999
tt0708748,Masks,1994,5.9,5.9,6.1,6.2,6.8,6,146,76,154,261,313,226,108,77,57,79,Star Trek: The Next Generation,tt0092455,7,17,6.1,1430,6.080360000000001
tt0708749,Ménage à Troi,1990,6.6,6.5,6.6,6.4,7.3,6.8,146,76,214,474,369,174,63,44,30,31,Star Trek: The Next Generation,tt0092455,3,24,6.6,1562,6.6211400000000005
tt0708750,New Ground,1992,6.5,6.5,6.5,5.9,7.2,6.7,118,44,153,464,390,148,49,24,18,27,Star Trek: The Next Generation,tt0092455,5,10,6.6,1383,6.4655
tt0708751,Night Terrors,1991,7.3,7,7.2,6.6,7.8,7.5,183,166,329,517,226,106,40,29,9,17,Star Trek: The Next Generation,tt0092455,4,17,7.2,1557,7.147799999999999
tt0708752,Parallels,1993,8.9,8.8,8.7,7.6,8.6,8.9,638,651,353,133,52,24,11,8,13,18,Star Trek: The Next Generation,tt0092455,7,11,8.8,1829,8.514159999999999
tt0708753,Peak Performance,1989,7.9,7.7,7.7,7.1,7.7,7.9,219,233,630,442,123,58,19,8,6,14,Star Trek: The Next Generation,tt0092455,2,21,7.8,1684,7.609100000000001
tt0708754,Pen Pals,1989,6.9,6.7,6.9,6.7,6.9,7,178,88,252,540,373,161,59,27,18,25,Star Trek: The Next Generation,tt0092455,2,15,6.8,1657,6.79472
tt0708755,Phantasms,1993,8,7.5,7.5,6.9,8.1,7.7,203,172,470,362,146,65,15,18,6,17,Star Trek: The Next Generation,tt0092455,7,6,7.6,1414,7.56276
tt0708756,Power Play,1992,7.6,7.3,7.4,6.3,7.6,7.4,176,140,424,478,179,65,25,17,5,18,Star Trek: The Next Generation,tt0092455,5,15,7.4,1471,7.2057400000000005
tt0708757,Preemptive Strike,1994,8.2,7.8,7.9,6.6,8,7.1,193,236,517,276,84,47,14,10,3,18,Star Trek: The Next Generation,tt0092455,7,24,7.9,1336,7.5822199999999995
tt0708758,Q Who,1989,9.3,9,8.9,8.7,8.8,8.4,928,877,458,141,43,21,10,4,4,20,Star Trek: The Next Generation,tt0092455,2,16,9,2410,8.843820000000001
tt0708759,Qpid,1991,7.4,7.2,7.4,6.6,7.6,7.2,220,198,405,453,215,96,47,30,18,41,Star Trek: The Next Generation,tt0092455,4,20,7.3,1654,7.17332
tt0708760,Rascals,1992,7.3,7.1,7.3,6.3,8,7.6,219,183,377,451,178,100,47,30,15,35,Star Trek: The Next Generation,tt0092455,6,7,7.3,1569,7.16368
tt0708761,Realm of Fear,1992,7.4,7.1,7.4,5.8,7.6,7.7,142,121,399,494,206,72,19,9,9,17,Star Trek: The Next Generation,tt0092455,6,2,7.3,1426,7.06712
tt0708762,Redemption,1991,8.7,8.4,8.3,8.2,8.2,7.9,366,466,545,183,65,34,6,11,7,20,Star Trek: The Next Generation,tt0092455,4,26,8.4,1640,8.27784
tt0708764,Relics,1992,8.7,8.5,8.6,7.8,8.3,8.3,505,591,492,209,84,27,16,5,4,15,Star Trek: The Next Generation,tt0092455,6,4,8.6,1873,8.32634
tt0708765,Remember Me,1990,8,7.7,7.8,7.2,8,8.1,301,338,609,371,143,77,25,12,3,23,Star Trek: The Next Generation,tt0092455,4,5,7.9,1835,7.730079999999999
tt0708766,Reunion,1990,8.5,8.3,8.4,7.9,8.2,8.2,375,502,609,200,76,29,8,9,7,20,Star Trek: The Next Generation,tt0092455,4,7,8.4,1770,8.20816
tt0708767,Rightful Heir,1993,7.3,7.1,7.2,5.7,7.2,7.2,144,109,317,445,184,72,46,19,10,15,Star Trek: The Next Generation,tt0092455,6,23,7.2,1304,6.88268
tt0708768,Samaritan Snare,1989,6.6,6.5,6.6,6.3,6.9,6.2,137,55,198,487,444,174,67,35,27,26,Star Trek: The Next Generation,tt0092455,2,17,6.6,1582,6.478219999999999
tt0708769,Sarek,1990,8.4,8.1,8.1,8.2,8.2,8.2,367,436,574,282,100,37,20,12,6,26,Star Trek: The Next Generation,tt0092455,3,23,8.2,1795,8.160739999999999
tt0708770,Schisms,1992,7.8,7.5,7.5,6.5,7.7,7.9,196,191,509,402,161,72,20,12,9,18,Star Trek: The Next Generation,tt0092455,6,5,7.6,1523,7.410919999999999
tt0708771,Second Chances,1993,7.8,7.5,7.6,6,8.1,7.7,176,178,494,372,128,57,19,10,6,23,Star Trek: The Next Generation,tt0092455,6,24,7.7,1404,7.364999999999999
tt0708772,Shades of Gray,1989,3.1,3.2,3.7,4.9,3.9,3.7,126,14,48,70,104,251,270,328,345,522,Star Trek: The Next Generation,tt0092455,2,22,3.4,2006,3.69616
tt0708773,Ship in a Bottle,1993,8.9,8.5,8.6,7.9,8.5,8.5,451,600,484,192,64,22,12,10,0,16,Star Trek: The Next Generation,tt0092455,6,12,8.6,1773,8.44234
tt0708774,Silicon Avatar,1991,7.3,7.2,7.3,6.6,7.4,7.4,161,119,358,549,218,67,34,12,3,17,Star Trek: The Next Generation,tt0092455,5,4,7.3,1480,7.13102
tt0708775,Sins of the Father,1990,8.4,8.2,8.3,7.9,8,7.9,361,450,614,235,94,46,13,8,2,13,Star Trek: The Next Generation,tt0092455,3,17,8.3,1765,8.090259999999999
tt0708776,Skin of Evil,1988,7.1,6.9,6.6,7.7,7.1,6.7,238,132,376,525,349,195,93,39,35,36,Star Trek: The Next Generation,tt0092455,1,22,6.9,1942,7.0081
tt0708777,Starship Mine,1993,8.1,7.9,7.9,6.5,7.8,8,249,275,622,314,103,43,12,7,1,14,Star Trek: The Next Generation,tt0092455,6,18,8,1580,7.63528
tt0708778,Sub Rosa,1994,4.5,4.8,5.3,4.9,6,6.3,147,37,97,181,249,276,170,159,127,186,Star Trek: The Next Generation,tt0092455,7,14,5,1562,5.1290000000000004
tt0708779,Suddenly Human,1990,6.4,6.4,6.7,6,7,6.1,130,63,192,445,471,173,75,39,18,30,Star Trek: The Next Generation,tt0092455,4,4,6.5,1574,6.37554
tt0708780,Suspicions,1993,6.9,7,7,5.9,7.3,7,144,84,285,449,246,80,43,31,9,22,Star Trek: The Next Generation,tt0092455,6,22,7.1,1336,6.76882
tt0708781,Symbiosis,1988,7,6.8,6.9,6.9,7.1,6.9,178,98,305,610,347,144,58,27,13,20,Star Trek: The Next Generation,tt0092455,1,21,6.9,1738,6.88794
tt0708782,Tapestry,1993,9.2,9,8.8,7.8,8.7,8.6,872,655,338,154,51,27,12,10,2,27,Star Trek: The Next Generation,tt0092455,6,15,9,2062,8.64956
tt0708783,The Arsenal of Freedom,1988,7.3,7.1,7.2,7,7.1,7.3,182,143,393,640,283,113,39,20,13,23,Star Trek: The Next Generation,tt0092455,1,20,7.2,1784,7.1199
tt0708784,The Battle,1987,6.8,6.8,6.9,6.4,6.8,6.6,148,74,305,717,417,128,63,31,14,18,Star Trek: The Next Generation,tt0092455,1,8,6.8,1847,6.67304
tt0708785,The Best of Both Worlds,1990,9.6,9.3,9.3,8.8,8.5,8.7,"1,771",719,279,104,31,22,5,11,10,43,Star Trek: The Next Generation,tt0092455,3,26,9.4,2911,9.03804
tt0708786,The Best of Both Worlds: Part II,1990,9.5,9.2,9.2,8.5,9,8.9,"1,491",750,337,99,36,19,11,7,10,37,Star Trek: The Next Generation,tt0092455,4,1,9.3,2710,9.01872
tt0708787,The Big Goodbye,1988,7.4,7.3,7.4,7.3,7.3,7.4,220,192,583,538,244,111,50,24,10,41,Star Trek: The Next Generation,tt0092455,1,11,7.4,1943,7.301820000000001
tt0708788,The Bonding,1989,6.7,6.5,6.7,5.8,6.9,7,175,87,218,456,413,204,66,41,19,21,Star Trek: The Next Generation,tt0092455,3,5,6.7,1633,6.51784
tt0708789,The Chase,1993,8.2,7.9,8,6.8,8.1,8.3,313,372,522,259,109,61,23,14,3,25,Star Trek: The Next Generation,tt0092455,6,20,8.1,1636,7.8047200000000005
tt0708790,The Child,1988,5.4,5.7,6,6.4,6.4,6.3,138,43,144,320,520,375,186,87,61,73,Star Trek: The Next Generation,tt0092455,2,1,5.8,1883,5.93064
tt0708791,The Dauphin,1989,5.8,6,6.4,6.2,6.2,6.6,148,58,168,401,494,251,128,53,48,37,Star Trek: The Next Generation,tt0092455,2,10,6.2,1727,6.1068
tt0708792,The Defector,1990,8.7,8.5,8.3,7.6,8.2,8.2,442,583,590,238,73,31,10,4,1,14,Star Trek: The Next Generation,tt0092455,3,10,8.5,1912,8.219719999999999
tt0708793,The Drumhead,1991,8.5,8.4,8.2,7.3,8.4,8,503,532,528,247,110,40,16,13,8,21,Star Trek: The Next Generation,tt0092455,4,21,8.4,1939,8.08934
tt0708794,The Emissary,1989,7.6,7.4,7.6,7.4,7.6,8.2,223,184,585,498,162,68,19,14,3,18,Star Trek: The Next Generation,tt0092455,2,20,7.6,1704,7.548399999999999
tt0708795,The Enemy,1989,8.1,7.8,7.7,7.6,7.7,7.6,210,261,670,401,112,40,20,6,2,13,Star Trek: The Next Generation,tt0092455,3,7,7.9,1672,7.73042
tt0708796,The Ensigns of Command,1989,7.5,7.3,7.4,6.9,7.3,7.2,193,173,506,602,197,88,22,7,9,16,Star Trek: The Next Generation,tt0092455,3,2,7.4,1747,7.228400000000001
tt0708797,The First Duty,1992,8.1,7.8,7.8,6.4,7.7,7.7,253,262,558,331,132,47,21,18,5,17,Star Trek: The Next Generation,tt0092455,5,19,7.9,1584,7.5361199999999995
tt0708798,The Game,1991,7.6,7.3,7.5,6.4,7.2,7.6,240,212,481,465,199,91,31,32,16,28,Star Trek: The Next Generation,tt0092455,5,6,7.5,1728,7.207739999999999
tt0708799,The High Ground,1990,6.9,6.8,6.8,6.5,7,6.9,163,92,253,504,366,139,50,37,7,26,Star Trek: The Next Generation,tt0092455,3,12,6.8,1581,6.762359999999999
tt0708800,The Host,1991,6.3,6.3,6.7,5.9,7.3,7.3,136,56,179,416,388,158,86,43,25,37,Star Trek: The Next Generation,tt0092455,4,23,6.5,1471,6.497180000000001
tt0708801,The Hunted,1990,7.7,7.4,7.6,6.7,7.5,7.6,194,184,514,532,192,57,20,13,6,16,Star Trek: The Next Generation,tt0092455,3,11,7.5,1662,7.3595
tt0708802,The Icarus Factor,1989,6.2,6.3,6.4,6.6,6.5,6.4,117,44,162,390,521,226,61,39,24,30,Star Trek: The Next Generation,tt0092455,2,14,6.3,1550,6.3439
tt0708803,The Inner Light,1992,9.6,9.3,9.5,8.5,9.3,9.5,"3,027",730,266,114,46,39,14,11,10,74,Star Trek: The Next Generation,tt0092455,5,25,9.4,4200,9.21492
tt0708804,The Last Outpost,1987,6.4,6.3,6.4,6.3,6.3,6.2,152,61,213,513,641,294,103,55,37,27,Star Trek: The Next Generation,tt0092455,1,4,6.3,2026,6.2851
tt0708805,The Loss,1990,5.9,5.9,6.1,6.3,6.6,6.1,117,41,114,312,449,259,124,65,40,39,Star Trek: The Next Generation,tt0092455,4,10,6,1502,6.08314
tt0708806,The Masterpiece Society,1992,7,6.6,7,5.9,6.8,6.9,130,76,199,495,334,111,40,34,9,26,Star Trek: The Next Generation,tt0092455,5,13,6.8,1399,6.643260000000001
tt0708807,The Measure of a Man,1989,9.4,9.1,8.9,9.3,9.1,8.8,"1,388",843,400,142,57,32,12,9,6,22,Star Trek: The Next Generation,tt0092455,2,9,9.1,2809,9.08258
tt0708808,The Mind's Eye,1991,7.8,7.8,7.7,6.8,7.7,7.5,181,229,583,379,121,42,9,6,4,12,Star Trek: The Next Generation,tt0092455,4,24,7.8,1504,7.50106
tt0708809,The Most Toys,1990,7.7,7.6,7.7,7.2,7.6,7.6,242,238,571,444,139,74,31,12,3,17,Star Trek: The Next Generation,tt0092455,3,22,7.7,1707,7.5145800000000005
tt0708810,The Naked Now,1987,6.5,6.4,6.5,6.9,6.8,6.7,214,87,279,693,544,268,139,61,45,45,Star Trek: The Next Generation,tt0092455,1,2,6.5,2299,6.57764
tt0708811,The Neutral Zone,1988,7.5,7.5,7.4,6.9,7.4,7.6,220,196,546,579,213,81,32,23,8,17,Star Trek: The Next Generation,tt0092455,1,25,7.5,1848,7.32328
tt0708812,The Next Phase,1992,8.5,8.2,8.4,7.2,8.2,8.2,312,441,598,201,68,33,9,3,2,14,Star Trek: The Next Generation,tt0092455,5,24,8.3,1616,8.062059999999999
tt0708813,The Nth Degree,1991,8.1,7.9,8.1,6.7,8,7.8,276,349,630,319,80,42,14,16,4,14,Star Trek: The Next Generation,tt0092455,4,19,8.1,1676,7.70572
tt0708814,The Offspring,1990,8.7,8.4,8.4,8.6,8.7,8.9,690,615,512,244,99,55,26,9,6,15,Star Trek: The Next Generation,tt0092455,3,16,8.5,2181,8.55108
tt0708815,The Outcast,1992,7,6.6,6.8,6.3,7.3,6.9,215,115,236,385,338,146,71,41,36,66,Star Trek: The Next Generation,tt0092455,5,17,6.7,1585,6.75538
tt0708816,The Outrageous Okona,1988,6.1,6.1,6.4,6.6,6.4,6.5,153,68,207,472,471,239,106,55,50,60,Star Trek: The Next Generation,tt0092455,2,4,6.3,1818,6.2838199999999995
tt0708817,The Pegasus,1994,8.8,8.5,8.5,7.5,8.3,8,386,545,465,171,51,28,9,6,4,15,Star Trek: The Next Generation,tt0092455,7,12,8.6,1607,8.24482
tt0708818,The Perfect Mate,1992,7.6,7.2,7.5,6.1,7.2,7.8,250,206,411,437,211,81,35,24,11,24,Star Trek: The Next Generation,tt0092455,5,21,7.4,1628,7.1585600000000005
tt0708819,The Price,1989,6.2,6.2,6.5,6,6.5,7,129,52,175,386,483,221,97,49,19,31,Star Trek: The Next Generation,tt0092455,3,8,6.3,1582,6.301
tt0708820,The Quality of Life,1992,7.6,7.3,7.4,6.5,7.6,7.2,180,144,390,448,170,59,27,13,7,18,Star Trek: The Next Generation,tt0092455,6,9,7.4,1393,7.21922
tt0708821,The Royale,1989,6.6,6.5,6.7,6.1,6.7,6.3,195,126,268,482,378,210,86,41,40,43,Star Trek: The Next Generation,tt0092455,2,12,6.7,1800,6.440639999999999
tt0708822,The Schizoid Man,1989,7.1,6.9,6.9,6.9,7,6.9,174,79,298,647,335,106,51,14,12,26,Star Trek: The Next Generation,tt0092455,2,6,7,1684,6.915099999999999
tt0708823,The Survivors,1989,7.8,7.6,7.8,6.9,7.6,8,263,279,627,466,183,76,28,16,7,17,Star Trek: The Next Generation,tt0092455,3,3,7.7,1887,7.544360000000001
tt0708824,The Vengeance Factor,1989,6.4,6.4,6.7,6.1,6.6,6.6,146,47,180,482,434,178,72,36,20,16,Star Trek: The Next Generation,tt0092455,3,9,6.6,1550,6.39768
tt0708825,The Wounded,1991,8.3,8.2,8.1,7.5,8,7.8,298,402,642,303,69,30,6,8,0,16,Star Trek: The Next Generation,tt0092455,4,12,8.2,1705,7.95182
tt0708826,Thine Own Self,1994,8,7.7,7.9,6.1,7.9,7.7,200,232,547,346,106,33,19,7,2,15,Star Trek: The Next Generation,tt0092455,7,16,7.8,1441,7.48224
tt0708827,Time Squared,1989,7.7,7.5,7.6,7.1,7.4,7.6,220,225,609,472,190,87,22,17,5,17,Star Trek: The Next Generation,tt0092455,2,13,7.6,1791,7.4367600000000005
tt0708828,Time's Arrow,1992,8.6,8.3,8.5,7.8,8.3,8.4,445,497,500,200,81,32,8,12,13,22,Star Trek: The Next Generation,tt0092455,5,26,8.4,1745,8.26506
tt0708829,Time's Arrow: Part II,1992,8.4,8.1,8.3,7.7,8.2,8.3,407,441,518,229,98,48,18,11,15,21,Star Trek: The Next Generation,tt0092455,6,1,8.3,1744,8.11008
tt0708830,Timescape,1993,8.8,8.5,8.5,7.8,8.5,8.5,418,601,437,145,46,33,13,6,3,18,Star Trek: The Next Generation,tt0092455,6,25,8.6,1655,8.3856
tt0708831,Tin Man,1990,7.2,7.2,7.3,6.8,7.5,7.6,205,161,386,557,224,96,27,16,7,22,Star Trek: The Next Generation,tt0092455,3,20,7.3,1633,7.18128
tt0708832,Too Short a Season,1988,6.1,6.1,6.1,6.8,6.1,6.3,142,40,148,363,575,332,120,58,28,33,Star Trek: The Next Generation,tt0092455,1,15,6.1,1774,6.21186
tt0708833,Transfigurations,1990,6.8,6.8,7,6.2,6.9,7.4,165,93,270,505,338,121,36,23,8,20,Star Trek: The Next Generation,tt0092455,3,25,7,1519,6.758000000000001
tt0708834,True Q,1992,7.6,7.4,7.5,6.7,7.6,7.8,191,148,464,465,189,61,27,12,3,15,Star Trek: The Next Generation,tt0092455,6,6,7.5,1511,7.35812
tt0708835,Unification I,1991,8.4,8.2,8.2,8.5,8.4,8.3,340,416,595,242,70,29,15,9,7,21,Star Trek: The Next Generation,tt0092455,5,7,8.3,1679,8.28702
tt0708836,Unification II,1991,8.5,8.3,8.3,8.6,8.4,8.4,393,427,533,227,69,31,16,10,8,23,Star Trek: The Next Generation,tt0092455,5,8,8.4,1672,8.37272
tt0708837,Unnatural Selection,1989,6.4,6.5,6.6,6.5,6.8,6.7,138,59,208,475,472,182,78,38,18,23,Star Trek: The Next Generation,tt0092455,2,7,6.5,1633,6.5126800000000005
tt0708838,Up the Long Ladder,1989,6.1,6.1,6.5,6.2,6.4,6.2,154,81,195,390,410,225,98,66,41,57,Star Trek: The Next Generation,tt0092455,2,18,6.3,1654,6.190079999999999
tt0708839,Violations,1992,6.3,6.2,6.5,5.6,6.9,6.7,122,47,134,357,408,181,91,29,27,34,Star Trek: The Next Generation,tt0092455,5,12,6.3,1377,6.27048
tt0708840,We'll Always Have Paris,1988,6.6,6.5,6.6,7.3,6.6,6.6,147,72,229,506,461,186,64,29,24,36,Star Trek: The Next Generation,tt0092455,1,23,6.6,1689,6.66794
tt0708841,When the Bough Breaks,1988,6.3,6.3,6.5,6.8,6.7,6.6,133,65,188,460,527,224,92,58,28,29,Star Trek: The Next Generation,tt0092455,1,16,6.4,1741,6.469639999999999
tt0708842,Where No One Has Gone Before,1987,7.6,7.5,7.6,6.9,7.6,7.8,289,266,694,633,251,94,32,21,8,19,Star Trek: The Next Generation,tt0092455,1,5,7.6,2228,7.427060000000001
tt0708843,Where Silence Has Lease,1988,7.3,7.1,7,7,7.1,6.4,189,130,364,646,291,128,43,22,8,21,Star Trek: The Next Generation,tt0092455,2,2,7.1,1774,6.98528
tt0708844,Who Watches the Watchers,1989,8.3,8,8,7.4,8,7.9,407,441,694,337,132,71,22,16,8,32,Star Trek: The Next Generation,tt0092455,3,4,8.1,2088,7.89564
tt0708845,Yesterday's Enterprise,1990,9.3,9.1,9.2,8.4,8.9,9.2,"1,552",844,357,136,54,19,11,8,10,29,Star Trek: The Next Generation,tt0092455,3,15,9.2,2926,8.957360000000001
tt0108214,Emissary,1993,7.8,7.5,7.4,7.5,7.3,7.5,463,387,658,691,321,159,55,32,19,78,Star Trek: Deep Space Nine,tt0106145,1,1,7.5,2792,7.478879999999999
tt0394906,The Way of the Warrior,1995,9.2,9,8.8,9,8.7,8.8,551,457,209,94,33,15,6,3,0,12,Star Trek: Deep Space Nine,tt0106145,4,1,9,1326,8.89368
tt0394907,What You Leave Behind,1999,9.4,8.8,8.8,8.2,7.9,8.9,561,277,168,82,39,14,12,9,7,38,Star Trek: Deep Space Nine,tt0106145,7,25,8.8,1160,8.66142
tt0708492,'Til Death Do Us Part,1999,7.6,7.6,7.5,7.3,7.3,8,113,63,235,245,65,37,9,2,0,2,Star Trek: Deep Space Nine,tt0106145,7,18,7.6,738,7.485519999999999
tt0708493,...Nor the Battle to the Strong,1996,8.1,7.6,7.4,7.6,7.4,7.6,159,112,261,220,109,40,15,9,9,2,Star Trek: Deep Space Nine,tt0106145,5,4,7.6,897,7.610379999999999
tt0708494,A Man Alone,1993,6.9,6.7,7,7.1,6.9,7.1,106,43,175,505,280,81,19,14,4,10,Star Trek: Deep Space Nine,tt0106145,1,3,6.9,1185,6.89482
tt0708495,A Simple Investigation,1997,6.8,6.5,6.7,6.7,6.6,7.3,95,31,106,261,195,110,27,12,14,6,Star Trek: Deep Space Nine,tt0106145,5,17,6.6,816,6.7010000000000005
tt0708496,A Time to Stand,1997,8.8,8.6,8.4,9.1,8.3,8.3,247,291,275,102,29,18,4,1,0,11,Star Trek: Deep Space Nine,tt0106145,6,1,8.5,934,8.57666
tt0708497,Accession,1996,7.2,7.2,7.2,6.6,7.2,7.8,102,66,188,296,143,47,22,9,4,1,Star Trek: Deep Space Nine,tt0106145,4,16,7.2,838,7.11204
tt0708498,Afterimage,1998,7.5,7.2,7.1,7.5,7.5,7.7,101,55,177,304,124,49,9,9,4,3,Star Trek: Deep Space Nine,tt0106145,7,3,7.2,798,7.362559999999999
tt0708499,Apocalypse Rising,1996,8.5,8.2,8.1,8.6,8.2,8.4,192,232,310,146,44,30,5,3,2,7,Star Trek: Deep Space Nine,tt0106145,5,1,8.2,931,8.298459999999999
tt0708500,Armageddon Game,1994,7.5,7.4,7.4,7.6,7.5,7.8,102,80,317,334,118,26,15,10,1,4,Star Trek: Deep Space Nine,tt0106145,2,13,7.4,961,7.47174
tt0708501,Babel,1993,7,6.8,7.1,6.7,7.3,7.6,107,67,196,449,245,95,21,18,4,4,Star Trek: Deep Space Nine,tt0106145,1,4,7,1155,6.98972
tt0708502,"Badda-Bing, Badda-Bang",1999,8.1,7.6,7.4,8.3,7.6,8.5,195,159,248,150,102,39,22,22,10,14,Star Trek: Deep Space Nine,tt0106145,7,15,7.7,922,7.8714
tt0708503,Bar Association,1996,7.5,7.4,7.3,7.3,7.3,7.6,128,87,228,279,129,48,21,10,3,2,Star Trek: Deep Space Nine,tt0106145,4,15,7.4,891,7.351100000000001
tt0708504,Battle Lines,1993,6.7,6.4,6.8,7.1,6.7,7.1,92,41,123,326,304,129,41,14,10,5,Star Trek: Deep Space Nine,tt0106145,1,12,6.6,1034,6.7389600000000005
tt0708505,Behind the Lines,1997,8,8,7.8,8.3,7.9,8,138,122,368,167,60,22,6,7,0,5,Star Trek: Deep Space Nine,tt0106145,6,4,7.9,854,7.95908
tt0708506,Blaze of Glory,1997,7.8,7.6,7.5,7.2,7.1,7.4,102,85,299,227,86,29,11,8,2,1,Star Trek: Deep Space Nine,tt0106145,5,23,7.6,814,7.41688
tt0708507,Blood Oath,1994,8.3,7.7,8.2,8.3,8,8.2,211,210,337,206,92,32,10,11,1,8,Star Trek: Deep Space Nine,tt0106145,2,19,8,1062,8.074
tt0708508,Body Parts,1996,7.6,7.4,7.4,8,7.7,8.2,123,85,274,248,111,41,11,4,5,2,Star Trek: Deep Space Nine,tt0106145,4,24,7.5,862,7.642759999999999
tt0708509,Broken Link,1996,8.4,8.2,8.1,8.5,8.2,8.7,162,237,323,121,47,26,3,3,1,8,Star Trek: Deep Space Nine,tt0106145,4,25,8.2,890,8.29154
tt0708510,Business as Usual,1997,7.5,7.3,7.3,6.8,7.1,7.7,94,70,221,294,107,51,10,6,4,0,Star Trek: Deep Space Nine,tt0106145,5,18,7.3,814,7.22618
tt0708511,By Inferno's Light,1997,9.1,8.8,8.7,9.2,8.6,8.8,363,359,197,70,24,19,5,3,1,12,Star Trek: Deep Space Nine,tt0106145,5,15,8.8,1007,8.8439
tt0708512,Call to Arms,1997,9.3,9.1,8.8,9.3,8.7,8.7,433,370,153,42,29,9,5,1,1,17,Star Trek: Deep Space Nine,tt0106145,5,26,9,1019,8.97802
tt0708513,Captive Pursuit,1993,7.9,7.5,7.8,7.8,7.8,7.8,144,149,436,348,110,29,9,6,1,6,Star Trek: Deep Space Nine,tt0106145,1,5,7.7,1185,7.72012
tt0708514,Cardassians,1993,7.6,7.4,7.5,8.2,7.9,7.7,117,120,319,309,136,29,14,6,3,2,Star Trek: Deep Space Nine,tt0106145,2,5,7.5,1011,7.66338
tt0708515,Change of Heart,1998,7.3,7,7.1,6.9,7.3,7.6,99,61,175,274,146,49,21,12,7,9,Star Trek: Deep Space Nine,tt0106145,6,16,7.1,816,7.13162
tt0708516,Children of Time,1997,8.4,7.9,7.9,8.2,8,8.7,203,195,292,170,88,31,10,12,5,12,Star Trek: Deep Space Nine,tt0106145,5,22,7.9,974,8.12748
tt0708517,Chimera,1999,7.4,7.2,7,7.7,7.4,7.9,112,59,166,267,128,49,15,15,4,2,Star Trek: Deep Space Nine,tt0106145,7,14,7.2,780,7.3707
tt0708518,Chrysalis,1998,7.5,7,7,6.7,7.2,7.2,125,67,179,259,140,51,27,19,11,7,Star Trek: Deep Space Nine,tt0106145,7,5,7.1,844,7.0667
tt0708519,Civil Defense,1994,8.2,7.9,7.8,8.5,8.1,8.2,170,175,373,207,74,32,11,1,2,4,Star Trek: Deep Space Nine,tt0106145,3,7,7.9,1002,8.07618
tt0708520,Covenant,1998,6.6,6.7,6.6,6.4,7.1,7.6,88,32,124,253,181,75,35,15,9,11,Star Trek: Deep Space Nine,tt0106145,7,9,6.7,789,6.72174
tt0708521,Crossfire,1996,7.5,7.3,7,7.7,7.3,7.6,115,70,199,310,129,69,20,8,5,6,Star Trek: Deep Space Nine,tt0106145,4,12,7.2,890,7.3628800000000005
tt0708522,Crossover,1994,8.2,7.9,8,8.2,8,8.2,192,203,361,183,68,31,14,10,4,13,Star Trek: Deep Space Nine,tt0106145,2,23,8,1034,8.03702
tt0708523,Dax,1993,7.2,7,7.3,7,7.6,7.4,110,73,256,427,177,76,23,20,5,3,Star Trek: Deep Space Nine,tt0106145,1,7,7.1,1122,7.1738
tt0708524,Defiant,1994,8.1,8.1,7.9,8.3,7.7,7.9,169,189,398,190,62,33,7,2,2,4,Star Trek: Deep Space Nine,tt0106145,3,9,8,1011,7.97578
tt0708525,Destiny,1995,7.5,7.4,7.4,7.8,7.5,7.8,100,100,246,305,104,43,16,6,1,1,Star Trek: Deep Space Nine,tt0106145,3,15,7.4,880,7.50854
