tconst,name,year,mz,my,mx,fz,fy,fx,a10,a9,a8,a7,a6,a5,a4,a3,a2,a1,series_name,parentTconst,seasonNumber,episodeNumber,averageRating,numVotes,demo_adj
tt0708442,Patterns of Force,1968,7.9,7.4,7.6,8.4,7.8,7.8,296,216,547,397,161,96,39,21,10,18,Star Trek,tt0060028,2,21,7.7,1733,7.78354
tt0708443,Plato's Stepchildren,1968,6.6,6.4,6.8,7.3,7,7.2,215,102,224,411,304,169,85,57,45,41,Star Trek,tt0060028,3,10,6.7,1598,6.8048399999999996
tt0708444,Requiem for Methuselah,1969,7.4,7.3,7.6,7.9,7.5,8.2,305,186,433,379,188,81,39,23,14,17,Star Trek,tt0060028,3,19,7.5,1613,7.56246
tt0708445,Return to Tomorrow,1968,7.7,7.4,7.6,8,7.5,7.9,232,185,532,421,173,86,26,13,6,13,Star Trek,tt0060028,2,20,7.6,1626,7.633679999999999
tt0708446,Shore Leave,1966,7.6,7.2,7.8,8.3,7.8,8.2,389,330,622,536,263,119,43,30,12,26,Star Trek,tt0060028,1,15,7.6,2305,7.7363599999999995
tt0708447,Space Seed,1967,9.1,8.8,8.9,8.9,8.6,8.7,"1,091",931,521,222,92,36,12,10,12,17,Star Trek,tt0060028,1,22,8.9,2866,8.806719999999999
tt0708448,Spectre of the Gun,1968,7.8,7.2,7.4,7.7,7,7.6,294,204,397,400,204,112,57,44,14,28,Star Trek,tt0060028,3,6,7.4,1686,7.43452
tt0708449,Spock's Brain,1968,5.1,5.6,5.8,6.4,6,5.7,183,55,170,268,353,316,158,142,98,115,Star Trek,tt0060028,3,1,5.7,1804,5.68864
tt0708450,That Which Survives,1969,6.4,6.3,6.8,7.3,6.4,6.9,168,61,193,406,361,139,86,42,22,22,Star Trek,tt0060028,3,17,6.6,1455,6.6237200000000005
tt0708451,The Alternative Factor,1967,5.7,5.7,6,6.4,5.7,6.4,193,68,157,348,466,343,184,124,80,89,Star Trek,tt0060028,1,27,5.9,1986,5.917319999999999
tt0708452,The Apple,1967,6.2,6.4,6.5,7.1,6.4,7,177,63,215,483,456,219,122,49,25,28,Star Trek,tt0060028,2,5,6.5,1767,6.52436
tt0708454,The Changeling,1967,7.8,7.6,7.8,7.5,7.7,8.1,293,233,654,442,168,70,23,18,3,11,Star Trek,tt0060028,2,3,7.8,1847,7.68006
tt0708455,The City on the Edge of Forever,1967,9.3,9.1,9.4,9.2,9.1,9.2,"2,080",761,400,154,59,23,19,11,9,38,Star Trek,tt0060028,1,28,9.3,3455,9.161520000000001
tt0708456,The Cloud Minders,1969,7.1,6.9,7.1,7.6,7.3,7.3,198,114,284,493,250,99,44,25,12,13,Star Trek,tt0060028,3,21,7.1,1480,7.161139999999999
tt0708458,The Corbomite Maneuver,1966,8.2,8,8.2,7.8,8.2,8.3,517,557,786,408,171,68,30,13,6,15,Star Trek,tt0060028,1,10,8.2,2505,8.049339999999999
tt0708459,The Deadly Years,1967,7.5,7.3,7.4,7.7,7.5,7.8,234,179,464,515,207,103,30,17,7,20,Star Trek,tt0060028,2,12,7.4,1711,7.47284
tt0708460,The Devil in the Dark,1967,8.4,8.3,8.5,8.8,8.5,8.9,611,606,623,296,92,49,22,10,3,12,Star Trek,tt0060028,1,25,8.5,2250,8.48764
tt0708461,The Doomsday Machine,1967,9,8.7,8.8,8.3,8.4,8.8,894,704,436,240,75,32,7,8,5,10,Star Trek,tt0060028,2,6,8.8,2329,8.62506
tt0708462,The Empath,1968,6.7,6.3,6.7,7.6,6.9,7.6,228,102,249,393,308,177,87,48,38,56,Star Trek,tt0060028,3,12,6.7,1626,6.884399999999999
tt0708463,The Enemy Within,1966,7.8,7.7,7.8,8.2,7.9,8,375,343,893,594,237,98,30,12,9,14,Star Trek,tt0060028,1,5,7.8,2534,7.84178
tt0708464,The Enterprise Incident,1968,8.8,8.4,8.5,8.5,8.5,8.6,554,605,477,230,66,34,11,15,5,17,Star Trek,tt0060028,3,2,8.6,1954,8.50876
tt0708465,The Galileo Seven,1967,7.9,7.7,7.8,7.9,7.7,7.9,335,317,764,519,173,72,42,21,5,15,Star Trek,tt0060028,1,16,7.8,2196,7.77114
tt0708466,The Gamesters of Triskelion,1968,7,6.7,7.2,7.6,6.7,7,223,127,344,544,323,120,79,29,14,17,Star Trek,tt0060028,2,16,7.1,1754,7.00106
tt0708467,The Immunity Syndrome,1968,7.9,7.4,7.6,8,7.4,7.7,249,195,510,435,164,88,22,10,7,11,Star Trek,tt0060028,2,18,7.6,1627,7.64372
tt0708468,The Lights of Zetar,1969,6,6,6.3,7.1,6.2,6.5,148,50,140,336,370,183,113,61,33,31,Star Trek,tt0060028,3,18,6.2,1417,6.2928999999999995
tt0708469,The Man Trap,1966,7.3,7.1,7.4,7.4,7.3,7.4,327,234,711,"1,126",437,173,51,28,6,15,Star Trek,tt0060028,1,1,7.3,3022,7.2621199999999995
tt0708470,The Mark of Gideon,1969,6.4,6.3,6.6,7.3,6.6,7,167,69,209,405,336,153,77,57,26,33,Star Trek,tt0060028,3,16,6.6,1485,6.63298
